Date,Tweets
2016-02-18,24986.0
2016-02-19,27889.0
2016-02-20,23050.0
2016-02-21,25424.0
2016-02-22,25239.0
2016-02-23,28499.0
2016-02-24,27169.0
2016-02-25,28753.0
2016-02-26,30726.0
2016-02-27,24902.0
2016-02-28,28161.0
2016-02-29,28270.0
2016-03-01,25668.0
2016-03-02,27957.0
2016-03-03,31442.0
2016-03-04,30294.0
2016-03-05,28045.0
2016-03-06,24747.0
2016-03-07,29486.0
2016-03-08,27850.0
2016-03-09,28142.0
2016-03-10,30719.0
2016-03-11,29704.0
2016-03-12,28068.0
2016-03-13,28299.0
2016-03-14,28751.0
2016-03-15,30661.0
2016-03-16,33113.0
2016-03-17,30033.0
2016-03-18,25976.0
2016-03-19,27011.0
2016-03-20,22064.0
2016-03-21,25353.0
2016-03-22,25184.0
2016-03-23,23845.0
2016-03-24,22710.0
2016-03-25,22593.0
2016-03-26,20187.0
2016-03-27,19044.0
2016-03-28,23045.0
2016-03-29,31699.0
2016-03-30,35672.0
2016-03-31,24191.0
2016-04-01,24472.0
2016-04-02,21507.0
2016-04-03,21378.0
2016-04-04,24516.0
2016-04-05,26914.0
2016-04-06,23270.0
2016-04-07,23407.0
2016-04-08,24554.0
2016-04-09,19399.0
2016-04-10,19193.0
2016-04-11,23919.0
2016-04-12,23252.0
2016-04-13,23243.0
2016-04-14,24938.0
2016-04-15,27593.0
2016-04-16,20857.0
2016-04-17,19395.0
2016-04-18,21989.0
2016-04-19,22642.0
2016-04-20,22973.0
2016-04-21,23282.0
2016-04-22,24241.0
2016-04-23,25236.0
2016-04-24,30727.0
2016-04-25,28861.0
2016-04-26,26206.0
2016-04-27,28009.0
2016-04-28,26142.0
2016-04-29,26067.0
2016-04-30,22785.0
2016-05-01,22113.0
2016-05-02,44092.0
2016-05-03,34902.0
2016-05-04,28567.0
2016-05-05,27508.0
2016-05-06,24738.0
2016-05-07,21334.0
2016-05-08,20478.0
2016-05-09,23092.0
2016-05-10,23402.0
2016-05-11,21597.0
2016-05-12,22343.0
2016-05-13,23638.0
2016-05-14,19355.0
2016-05-15,19527.0
2016-05-16,21419.0
2016-05-17,21242.0
2016-05-18,21130.0
2016-05-19,21055.0
2016-05-20,21015.0
2016-05-21,18208.0
2016-05-22,20846.0
2016-05-23,25025.0
2016-05-24,25558.0
2016-05-25,25514.0
2016-05-26,25096.0
2016-05-27,22418.0
2016-05-28,20785.0
2016-05-29,21179.0
2016-05-30,23116.0
2016-05-31,22168.0
2016-06-01,24322.0
2016-06-02,25664.0
2016-06-03,25989.0
2016-06-04,22507.0
2016-06-05,24256.0
2016-06-06,25168.0
2016-06-07,25479.0
2016-06-08,25213.0
2016-06-09,23455.0
2016-06-10,23436.0
2016-06-11,20546.0
2016-06-12,25917.0
2016-06-13,27242.0
2016-06-14,23970.0
2016-06-15,24561.0
2016-06-16,26795.0
2016-06-17,26724.0
2016-06-18,20862.0
2016-06-19,20799.0
2016-06-20,27198.0
2016-06-21,27064.0
2016-06-22,25119.0
2016-06-23,24183.0
2016-06-24,26403.0
2016-06-25,20205.0
2016-06-26,20500.0
2016-06-27,23913.0
2016-06-28,23816.0
2016-06-29,23872.0
2016-06-30,23132.0
2016-07-01,23027.0
2016-07-02,23595.0
2016-07-03,20287.0
2016-07-04,21181.0
2016-07-05,22046.0
2016-07-06,23770.0
2016-07-07,23909.0
2016-07-08,23469.0
2016-07-09,25041.0
2016-07-10,20364.0
2016-07-11,22699.0
2016-07-12,22223.0
2016-07-13,22998.0
2016-07-14,21544.0
2016-07-15,20434.0
2016-07-16,18987.0
2016-07-17,19456.0
2016-07-18,21330.0
2016-07-19,23226.0
2016-07-20,22621.0
2016-07-21,20837.0
2016-07-22,20712.0
2016-07-23,18351.0
2016-07-24,18766.0
2016-07-25,22664.0
2016-07-26,23499.0
2016-07-27,21902.0
2016-07-28,23727.0
2016-07-29,20354.0
2016-07-30,17310.0
2016-07-31,17590.0
2016-08-01,22021.0
2016-08-02,27947.0
2016-08-03,33437.0
2016-08-04,25150.0
2016-08-05,25115.0
2016-08-06,20484.0
2016-08-07,20769.0
2016-08-08,24232.0
2016-08-09,24435.0
2016-08-10,30224.0
2016-08-11,23497.0
2016-08-12,25008.0
2016-08-13,21026.0
2016-08-14,24566.0
2016-08-15,25180.0
2016-08-16,23549.0
2016-08-17,22643.0
2016-08-18,20849.0
2016-08-19,18562.0
2016-08-20,14687.0
2016-08-21,14412.0
2016-08-22,18821.0
2016-08-23,18812.0
2016-08-24,19302.0
2016-08-25,20127.0
2016-08-26,19606.0
2016-08-27,15956.0
2016-08-28,17112.0
2016-08-29,22110.0
